lat,lon,fullnamero
-8.509743,158.133573,Nggaramoho Island
-8.509743,158.133573,Karomaho Island
-8.615619,157.82133,Ngganggusu Island
-8.23361,157.251978,New Georgian Archipelago
-8.23361,157.251978,New Georgia Islands
-8.23361,157.251978,New Georgia Group
-8.23361,157.251978,New Georgia Archipelago
-8.350908,160.717941,Lelevu Point
-8.350908,160.717941,Lelefu Point
-8.470736,160.66097,Kwa’au Point
-8.801125,157.654016,Kupa Point
-8.801125,157.654016,Cape Nepean
-8.512321,157.93438,Ndure Islands
-8.512321,157.93438,Nduri Islands
-8.745628,158.218713,Ndoveli
-8.745628,158.218713,Ndovele Island
-8.57697,157.812325,Ndoruana Island
-8.71366,157.345131,Ndoro Point
-8.525208,157.955025,Munggiri Point
-8.542567,157.875555,Morutu Point
-8.542567,157.875555,Patumarutu Point
-8.542567,157.875555,Patumanutu Point
-8.792569,157.755219,Morton Island
-8.584232,157.853269,Moluana Nggete Island
-8.581086,157.861529,Moluana Kiki Island
-8.581086,157.861529,Moluana
-8.592745,157.338143,Moi Point
-8.382911,160.622014,Kao Ridge
-8.542553,157.915735,Opopiti Island
-8.554687,157.208606,Ōntsofiō Point
-8.644069,157.281348,Ōninggōrō Point
-8.503889,158.062526,Nusarua Island
-8.702531,158.159031,Nusanggete Island
-8.688798,158.15413,Tambakambe Island
-8.688798,158.15413,Nusakiki Island
-8.511864,157.961076,Noki Island
-8.59326,158.186847,Churakama Island
-8.59326,158.186847,Njurokamo Island
-8.58168,157.873027,Njuala Island
-8.602898,157.220498,Njave Point
-8.563584,158.155812,Njapuchanjomo Island
-8.563584,158.155812,Njapinjanjamo Island
-8.563584,158.155812,Njapinganjo Island
-8.309655,160.581022,Mbathakana Island
-8.309655,160.581022,Basakana Island
-8.337079,160.611741,Malu Point
-8.337079,160.611741,Maluu Point
-8.589228,158.1911,Njapuana Island
-8.589228,158.1911,Njaporna Island
-8.528734,158.161912,Njagi Island
-8.528734,158.161912,Njaghi Island
-8.530209,158.170723,Porpori Island
-8.530209,158.170723,Pori Pori Island
-8.530209,158.170723,Porepore Island
-8.662919,158.139923,Popoghere Island
-8.555656,157.935064,Pungala Island
-8.555656,157.935064,Ponggala Island
-8.810073,158.230394,Cape Pitt
-8.564832,157.92244,Pindiki Island
-8.564832,157.92244,Pindika Island
-8.583467,157.891993,Peoro Point
-8.584846,157.845359,Pavasa Island
-8.559142,157.882142,Patutiva Point
-8.559142,157.882142,Patutivu Point
-8.559142,157.882142,Patutiwa Point
-8.683411,158.136442,Paparakuto Island
-8.581636,157.865998,Oreke Island
-9.495415,161.264011,Tarairiu Island
-9.515765,161.287444,Tarai Island
-9.617852,161.557666,Tahengasau Point
