RC,UFI,UNI,LAT,LONG,DMS_LAT,DMS_LONG,MGRS,JOG,FC,DSG,PC,CC1,ADM1,POP,ELEV,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME_RO,FULL_NAME_RO,FULL_NAME_ND_RO,SORT_NAME_RG,FULL_NAME_RG,FULL_NAME_ND_RG,NOTE,MODIFY_DATE,DISPLAY,NAME_RANK,NAME_LINK,TRANSL_CD,NM_MODIFY_DATE,F_EFCTV_DT,F_TERM_DT
5,-1547034,-2202671,-9.120893,160.155069,9:07:15S,160:09:18E,57LXK2692491579,SC57-07,T,ISL,,BP,0,,,,V,,,,KOKOMTAMBUISLAND,Kokomtambu Island,Kokomtambu Island,KOKOMTAMBUISLAND,Kokomtambu Island,Kokomtambu Island,,2010-11-16,"1,2,3,4,5",,,,1993-09-01,,
5,-1547029,-2202677,-9.185519,160.253954,9:11:08S,160:15:14E,57LXK3776784397,SC57-07,T,ISL,,BP,0,,,,N,,,,KOKOMUISLAND,Kokomu Island,Kokomu Island,KOKOMUISLAND,Kokomu Island,Kokomu Island,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1547028,-2202676,-9.063589,160.302058,9:03:49S,160:18:07E,57LXK4310197861,SC57-07,T,ISL,,BP,0,,,,N,,,,KOKOMUISLAND,Kokomu Island,Kokomu Island,KOKOMUISLAND,Kokomu Island,Kokomu Island,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545541,-2200778,-9.062805,160.798878,9:03:46S,160:47:56E,57LXK9771997715,SC57-08,T,PT,,BP,0,,,,N,,,,FAULAKONAMAEPOINT,Faulakonamae Point,Faulakonamae Point,FAULAKONAMAEPOINT,Faulakonamae Point,Faulakonamae Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545537,-2200774,-8.823083,160.944412,8:49:23S,160:56:40E,57LYL1386024150,SC57-04,T,PT,,BP,0,,,,N,,,,FAUIFOTEPOINT,Fauifote Point,Fauifote Point,FAUIFOTEPOINT,Fauifote Point,Fauifote Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545528,-2200765,-8.835168,160.849794,8:50:07S,160:50:59E,57LYL0344322867,SC57-04,T,MT,,BP,0,,,,N,,,,MOUNTFAUAGWAFI,Mount Fauagwafi,Mount Fauagwafi,FAUAGWAFI MOUNT,"Fauagwafi, Mount","Fauagwafi, Mount",,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1550072,-2206487,-9.323216,159.811106,9:19:24S,159:48:40E,57LWK8907469311,SC57-07,T,PT,,BP,0,,,,N,,,,NOVUPOINT,Novu Point,Novu Point,NOVUPOINT,Novu Point,Novu Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545162,-2200271,-10.656522,165.892251,10:39:23S,165:53:32E,58LEP9758821858,SC58-11,T,PT,,BP,0,,,,N,,,,CARTERETPOINT,Carteret Point,Carteret Point,CARTERETPOINT,Carteret Point,Carteret Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1545810,-2201135,-8.978377,160.070048,8:58:42S,160:04:12E,57LXL1762707367,SC57-03,T,PT,,BP,0,,,,N,,,,GHULUPAPOINT,Ghulupa Point,Ghulupa Point,GHULUPAPOINT,Ghulupa Point,Ghulupa Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
5,-1544896,-2199734,-9.281938,159.759872,9:16:55S,159:45:36E,57LWK8345773888,SC57-07,T,PT,,BP,0,,,,N,,,,ARULIHOPOINT,Aruliho Point,Aruliho Point,ARULIHOPOINT,Aruliho Point,Aruliho Point,,2010-11-16,"1,2,3,4,5",1,,,1993-09-01,,
